RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
22,E. Payton,NY,UTAH,100-112 W,42,10-15,0-2,2-2,2,8,1,0,1,22,42,3,18.5
23,D. Sabonis,Ind,Hou,107-114 W,38,9-14,0-0,4-6,12,4,0,1,5,22,41.9,13,11.5
24,M. Bagley III,Sac,Chi,124-128 W,29,8-14,3-5,2-2,12,0,2,2,2,21,41.6,16,11.75
25,J. Tatum,Bos,@Mia,107-105 W,38,10-21,5-8,2-2,5,4,1,0,2,27,41.4,6,19.5
26,B. Adebayo,Mia,Bos,107-105 L,34,5-10,0-0,5-6,8,10,0,2,2,15,39.9,10,14.5
27,T. Haliburton,Sac,Chi,124-128 W,35,7-15,3-7,0-0,7,6,3,1,0,17,38.9,11,14.25
28,J. Collins,Atl,Cha,102-94 L,32,9-16,0-0,5-7,11,1,1,0,2,23,38.1,12,14
29,R. Gobert,UTAH,@NY,100-112 L,35,7-9,0-0,0-3,11,2,0,5,0,14,37.8,16,7.25
30,B. Portis,Mil,Det,115-130 W,28,7-11,2-5,0-0,10,4,2,0,1,16,37.7,12,12
1,L. Doncic,Dal,@Den,124-117 W,43,13-22,2-7,10-15,9,13,5,1,8,38,71.3,15,32.25
2,D. Lillard,Por,Min,117-135 W,29,13-21,7-12,6-7,7,7,3,0,1,39,68.9,10,37.75
3,N. Jokic,Den,Dal,124-117 L,41,14-31,4-10,6-10,11,4,2,0,3,38,55.2,13,28.75
4,L. James,LAL,SA,118-109 L,35,8-15,4-7,7-11,6,12,0,0,4,27,50,6,26.25
5,A. Davis,LAL,SA,118-109 L,34,11-17,1-3,0-2,10,3,1,3,1,23,46.8,14,16.5
6,J. Harris,BKN,Phi,109-122 W,30,11-19,6-9,0-2,6,4,1,0,1,28,45.9,7,23.5
7,L. Aldridge,SA,@LAL,118-109 W,31,11-18,3-7,3-3,5,3,0,0,1,28,44.2,5,22.25
8,S. Milton,Phi,@BKN,109-122 L,36,8-13,1-4,7-7,1,7,0,0,3,24,39,1,19
9,A. Drummond,Cle,@Mem,94-90 W,37,9-20,0-0,4-6,15,3,2,0,6,22,38.6,17,9.75
10,D. DeRozan,SA,@LAL,118-109 W,36,5-13,2-6,7-8,4,8,2,1,0,19,38.2,7,18
11,D. Russell,Min,@Por,117-135 L,28,9-16,3-7,5-6,3,3,0,1,3,26,37.9,4,19
12,J. Murray,Den,Dal,124-117 L,46,8-19,3-9,2-2,4,9,1,0,3,21,37.7,5,15.5
13,L. Nance Jr.,Cle,@Mem,94-90 W,35,7-7,4-4,0-0,3,4,3,0,2,18,37.2,6,11.25
14,C. LeVert,BKN,Phi,109-122 W,32,9-25,0-5,4-10,7,10,2,0,1,22,36.7,9,23
15,J. Embiid,Phi,@BKN,109-122 L,30,7-14,2-2,4-5,12,3,0,1,5,20,36.7,13,10.5
16,J. Valanciunas,Mem,Cle,94-90 L,28,6-11,1-2,4-4,10,3,1,1,2,17,35.7,12,11
17,J. Allen,BKN,Phi,109-122 W,28,5-6,0-0,5-6,11,3,0,1,3,15,34.2,12,8
18,J. Nurkic,Por,Min,117-135 W,23,8-10,0-0,1-2,7,2,1,0,2,17,32.3,8,11.25
19,D. Finney-Smith,Dal,@Den,124-117 W,36,5-12,4-8,0-0,8,2,3,2,0,14,32,13,7
20,C. McCollum,Por,Min,117-135 W,26,6-14,4-9,4-4,3,4,0,1,1,20,31.9,4,16.5
21,D. Murray,SA,@LAL,118-109 W,32,7-14,2-4,2-2,8,2,0,0,0,18,31.7,8,12
22,A. Edwards,Min,@Por,117-135 L,31,9-21,3-10,5-7,4,1,2,0,4,26,31.2,6,15.25
23,T. Harris,Phi,@BKN,109-122 L,34,7-16,1-4,2-2,8,4,1,0,4,17,29.6,9,8.5
24,B. Clarke,Mem,Cle,94-90 L,30,7-11,0-0,0-0,8,2,0,1,1,14,29.3,9,7.5
25,T. Maxey,Phi,@BKN,109-122 L,21,7-12,2-4,0-0,3,2,1,1,0,16,28.2,5,12.75
26,E. Kanter,Por,Min,117-135 W,14,5-5,0-0,0-0,7,1,2,2,2,10,26.8,11,5.5
27,L. Walker IV,SA,@LAL,118-109 W,27,6-11,2-4,0-0,6,2,0,1,1,14,26.5,7,8.25
28,C. Osman,Cle,@Mem,94-90 W,38,6-19,4-11,0-2,5,7,1,0,2,16,26.4,6,11.5
29,J. McGee,Cle,@Mem,94-90 W,17,5-7,1-1,2-2,6,0,1,1,0,13,25.8,8,8.75
30,R. Gay,SA,@LAL,118-109 W,24,6-10,3-5,0-0,6,0,0,0,0,15,25.3,6,9
1,C. LeVert,BKN,@Mem,110-115 L,36,15-23,7-9,6-6,5,6,0,0,5,43,66.5,5,35
2,S. Curry,GS,LAC,105-115 W,36,13-24,9-14,3-3,2,11,3,0,2,38,66.5,5,38
3,Z. LaVine,Chi,@LAL,115-117 L,38,14-22,4-7,6-6,5,6,2,0,0,38,64.5,7,34.5
4,B. Beal,WSH,@Bos,107-116 L,38,16-29,4-9,5-5,3,3,0,1,5,41,55,4,29.5
5,F. VanVleet,Tor,@Sac,144-123 W,33,13-22,5-9,3-3,3,7,1,0,3,34,54.8,4,29.75
6,G. Antetokounmpo,Mil,UTAH,131-118 L,33,14-25,2-5,5-7,8,4,0,1,2,35,54.5,9,28.75
7,K. Middleton,Mil,UTAH,131-118 L,36,11-19,3-8,6-6,10,4,0,0,2,31,52.8,10,24
8,D. Mitchell,UTAH,@Mil,131-118 W,32,12-24,4-9,4-6,5,7,0,1,1,32,51.3,6,30
9,J. Grant,Det,PHX,105-110 W,42,10-15,3-5,8-11,10,2,0,1,2,31,50.9,11,20.5
10,S. Gilgeous-Alexander,Okc,@NY,101-89 W,34,9-14,3-3,4-6,10,7,0,1,3,25,50,11,20.5
11,J. Brown,Bos,WSH,107-116 W,38,9-19,3-6,6-6,13,5,2,0,5,27,49.5,15,17.5
12,P. Siakam,Tor,@Sac,144-123 W,33,7-11,1-2,2-2,9,12,1,1,2,17,48.6,11,18.75
13,C. Boucher,Tor,@Sac,144-123 W,29,9-12,2-4,3-5,10,2,1,3,0,23,47.8,14,17.75
